chr19	3287039	3287702	1	1	1	1	0	26
chr19	3289088	3290976	1	1	1	1	0	40
chr19	3527604	3571822	1	1	1	1	0	13
chr19	3566112	3571872	1	1	1	1	1	29
chr19	3678682	3706149	1	1	1	0	2	29
chr19	3710015	3752060	2	2	1	0	1	34
chr19	3722634	3752060	2	2	1	0	1	34
chr19	3735755	3748944	2	2	1	0	1	23
chr19	3749184	3752060	2	2	1	0	1	34
chr19	3760504	3762017	2	2	1	0	1	21
chr19	3841956	3878037	1	1	1	1	0	16
chr19	3867927	3901093	2	2	1	2	1	19
chr19	3909075	3909152	2	2	1	2	0	39
chr19	3917723	3928570	1	1	1	0	1	42
chr19	4007666	4007769	2	2	1	2	0	38
chr19	4008130	4008342	2	2	1	1	0	38
chr19	4035662	4035823	2	2	1	0	4	40
chr19	4040540	4040707	2	2	1	0	4	40
chr19	4131283	4131361	1	1	1	2	0	26
chr19	4151500	4151579	1	1	1	1	0	30
chr19	4233355	4274426	1	1	1	1	0	12
chr19	4668691	4692336	1	1	1	0	1	39
chr19	4967307	4973903	2	2	1	0	1	42
chr19	5092223	5092301	1	1	1	4	0	36
chr19	5112350	5124173	2	2	1	5	2	29
chr19	5124228	5158596	1	1	0	1	0	31
chr19	5245356	5269898	2	2	1	1	0	36
chr19	5288007	5288303	2	2	1	1	0	31
chr19	5308660	5312025	1	1	1	0	2	26
chr19	5368726	5368894	1	1	1	1	0	20
chr19	5368943	5369925	1	1	1	1	0	22
chr19	5380697	5396542	2	2	1	1	0	28
chr19	5381117	5381209	2	2	1	1	0	18
chr19	5386456	5427637	1	1	1	0	1	28
chr19	5423026	5423330	2	2	1	8	0	43
chr19	5423420	5423559	2	2	1	2	0	42
chr19	5423675	5423771	2	2	1	1	0	20
chr19	5480742	5481560	1	1	1	1	0	19
chr19	5507237	5507629	1	1	1	0	1	18
chr19	5602375	5602449	1	1	1	2	0	34
chr19	5728869	5729236	2	2	1	1	0	37
chr19	5788463	5805016	1	1	1	0	2	16
chr19	5790134	5802093	1	1	1	0	18	45
chr19	5802024	5802065	2	4	1	4	0	4
chr19	5886370	5900588	1	1	1	0	2	33
chr19	5887955	5899248	2	2	1	0	2	25
chr19	5909439	5941193	2	2	1	2	2	22
chr19	5978582	6009665	1	1	1	1	0	18
